Participant,Rater Code,Count,Unusable,Gender,Sex_Orient,SD_Sex_Orient,Rom_Rel,Age,Ethnicity,Col_Blind,Vis_Impair,Experimenter,FirstBlock,BlockOne,Label,TargetNum,StimSeat,StimGender,StimulusType,OrientationMatch,Rating
1,C001,209,0,1,4,,1,18,5,2,2,1,5,0,G202A_M_SE,202A,0,1,2,0,5
1,C001,210,0,1,4,,1,18,5,2,2,1,5,0,G202A_M_SN,202A,0,1,1,0,4
1,C001,211,0,1,4,,1,18,5,2,2,1,5,0,G218A_M_DE,218A,0,1,4,0,7
1,C001,212,0,1,4,,1,18,5,2,2,1,5,0,G218A_M_DEwithAudio,218A,0,1,6,0,8
1,C001,213,0,1,4,,1,18,5,2,2,1,5,0,G218A_M_DN,218A,0,1,3,0,6
1,C001,214,0,1,4,,1,18,5,2,2,1,5,0,G218A_M_DNwithAudio,218A,0,1,5,0,7
1,C001,215,0,1,4,,1,18,5,2,2,1,5,0,G218A_M_SE,218A,0,1,2,0,7
1,C001,216,0,1,4,,1,18,5,2,2,1,5,0,G218A_M_SN,218A,0,1,1,0,5
2,C002,1,0,1,4,,2,19,4,2,2,1,6,1,G002C_F_DE,002C,2,0,4,1,7
2,C002,2,0,1,4,,2,19,4,2,2,1,6,1,G002C_F_DEwithAudio,002C,2,0,6,1,7
2,C002,3,0,1,4,,2,19,4,2,2,1,6,1,G002C_F_DN,002C,2,0,3,1,7
2,C002,4,0,1,4,,2,19,4,2,2,1,6,1,G002C_F_DNwithAudio,002C,2,0,5,1,8
2,C002,5,0,1,4,,2,19,4,2,2,1,6,1,G002C_F_SE,002C,2,0,2,1,7
2,C002,6,0,1,4,,2,19,4,2,2,1,6,1,G002C_F_SN,002C,2,0,1,1,8
2,C002,7,0,1,4,,2,19,4,2,2,1,6,1,G003B_F_DE,003B,1,0,4,1,7
2,C002,8,0,1,4,,2,19,4,2,2,1,6,1,G003B_F_DEwithAudio,003B,1,0,6,1,7
2,C002,9,0,1,4,,2,19,4,2,2,1,6,1,G003B_F_DN,003B,1,0,3,1,6
2,C002,10,0,1,4,,2,19,4,2,2,1,6,1,G003B_F_DNwithAudio,003B,1,0,5,1,6
2,C002,11,0,1,4,,2,19,4,2,2,1,6,1,G003B_F_SE,003B,1,0,2,1,6
2,C002,12,0,1,4,,2,19,4,2,2,1,6,1,G003B_F_SN,003B,1,0,1,1,8
2,C002,13,0,1,4,,2,19,4,2,2,1,6,1,G017C_F_DE,017C,2,0,4,1,7
2,C002,14,0,1,4,,2,19,4,2,2,1,6,1,G017C_F_DEwithAudio,017C,2,0,6,1,7
2,C002,15,0,1,4,,2,19,4,2,2,1,6,1,G017C_F_DN,017C,2,0,3,1,7
2,C002,16,0,1,4,,2,19,4,2,2,1,6,1,G017C_F_DNwithAudio,017C,2,0,5,1,7
2,C002,17,0,1,4,,2,19,4,2,2,1,6,1,G017C_F_SE,017C,2,0,2,1,7
2,C002,18,0,1,4,,2,19,4,2,2,1,6,1,G017C_F_SN,017C,2,0,1,1,7
2,C002,19,0,1,4,,2,19,4,2,2,1,6,1,G022A_M_DE,022A,0,1,4,0,5
2,C002,20,0,1,4,,2,19,4,2,2,1,6,1,G022A_M_DEwithAudio,022A,0,1,6,0,6
2,C002,21,0,1,4,,2,19,4,2,2,1,6,1,G022A_M_DN,022A,0,1,3,0,6
2,C002,22,0,1,4,,2,19,4,2,2,1,6,1,G022A_M_DNwithAudio,022A,0,1,5,0,6
2,C002,23,0,1,4,,2,19,4,2,2,1,6,1,G022A_M_SE,022A,0,1,2,0,5
2,C002,24,0,1,4,,2,19,4,2,2,1,6,1,G022A_M_SN,022A,0,1,1,0,7
2,C002,25,0,1,4,,2,19,4,2,2,1,6,1,G022B_M_DE,022B,1,1,4,0,6
2,C002,26,0,1,4,,2,19,4,2,2,1,6,1,G022B_M_DEwithAudio,022B,1,1,6,0,6
2,C002,27,0,1,4,,2,19,4,2,2,1,6,1,G022B_M_DN,022B,1,1,3,0,5
2,C002,28,0,1,4,,2,19,4,2,2,1,6,1,G022B_M_DNwithAudio,022B,1,1,5,0,5
2,C002,29,0,1,4,,2,19,4,2,2,1,6,1,G022B_M_SE,022B,1,1,2,0,5
2,C002,30,0,1,4,,2,19,4,2,2,1,6,1,G022B_M_SN,022B,1,1,1,0,6
2,C002,31,0,1,4,,2,19,4,2,2,1,6,1,G046A_M_DE,046A,0,1,4,0,8
2,C002,32,0,1,4,,2,19,4,2,2,1,6,1,G046A_M_DEwithAudio,046A,0,1,6,0,8
2,C002,33,0,1,4,,2,19,4,2,2,1,6,1,G046A_M_DN,046A,0,1,3,0,7
